asset_id,view,resolution,condition,clean_to_perturbed_chamfer
SI_451bcb49-01f9-4030-9d89-6f976b64572b,view_180,128,jpeg_35,0.01924931611973142
SI_451bcb49-01f9-4030-9d89-6f976b64572b,view_270,128,jpeg_35,0.017845297781101173
SI_b1a04b98-c12f-4123-8093-af32c20ce5f3,view_000,128,jpeg_35,0.05599163615025768
SI_b1a04b98-c12f-4123-8093-af32c20ce5f3,view_090,128,jpeg_35,0.019736361049840057
SI_b1a04b98-c12f-4123-8093-af32c20ce5f3,view_180,128,jpeg_35,0.03336981196084131
SI_b1a04b98-c12f-4123-8093-af32c20ce5f3,view_270,128,jpeg_35,0.02596044392251578
SI_fc2bca6b-1f44-4d2c-a1b9-713a33ee0596,view_000,128,jpeg_35,0.024234636312201685
SI_fc2bca6b-1f44-4d2c-a1b9-713a33ee0596,view_090,128,jpeg_35,0.014494209055384566
SI_fc2bca6b-1f44-4d2c-a1b9-713a33ee0596,view_180,128,jpeg_35,0.011360390761038766
SI_fc2bca6b-1f44-4d2c-a1b9-713a33ee0596,view_270,128,jpeg_35,0.010202886569214427
SI_1f1ec6af-193f-4969-9185-dc5dd587239d,view_000,128,occlusion_15,0.06897412329366329
SI_1f1ec6af-193f-4969-9185-dc5dd587239d,view_090,128,occlusion_15,0.07629496731234531
SI_1f1ec6af-193f-4969-9185-dc5dd587239d,view_180,128,occlusion_15,0.03700359386144898
SI_1f1ec6af-193f-4969-9185-dc5dd587239d,view_270,128,occlusion_15,0.07721652026095735
SI_451bcb49-01f9-4030-9d89-6f976b64572b,view_000,128,occlusion_15,0.06118215074993433
SI_451bcb49-01f9-4030-9d89-6f976b64572b,view_090,128,occlusion_15,0.05122065786294125
SI_451bcb49-01f9-4030-9d89-6f976b64572b,view_180,128,occlusion_15,0.06506678597387756
SI_451bcb49-01f9-4030-9d89-6f976b64572b,view_270,128,occlusion_15,0.06357128732232528
SI_b1a04b98-c12f-4123-8093-af32c20ce5f3,view_000,128,occlusion_15,0.04012436739875961
SI_b1a04b98-c12f-4123-8093-af32c20ce5f3,view_090,128,occlusion_15,0.10657262953347815
SI_b1a04b98-c12f-4123-8093-af32c20ce5f3,view_180,128,occlusion_15,0.040771904166790336
SI_b1a04b98-c12f-4123-8093-af32c20ce5f3,view_270,128,occlusion_15,0.11161309539749803
SI_fc2bca6b-1f44-4d2c-a1b9-713a33ee0596,view_000,128,occlusion_15,0.05247996681319121
SI_fc2bca6b-1f44-4d2c-a1b9-713a33ee0596,view_090,128,occlusion_15,0.04990794350351872
SI_fc2bca6b-1f44-4d2c-a1b9-713a33ee0596,view_180,128,occlusion_15,0.04755487237046002
