asset_id,kind,severity,seed,reference_vertices,reference_faces,test_vertices,test_faces,chamfer_l1,hausdorff,fscore_001,normal_consistency
SI_fc2bca6b-1f44-4d2c-a1b9-713a33ee0596,vertex_noise,0.02,20260714,78496,149988,78496,149988,0.006518733546133043,0.02095012627075773,0.8379142715067132,0.9756721717838722
SI_fc2bca6b-1f44-4d2c-a1b9-713a33ee0596,vertex_noise,0.05,20260717,78496,149988,78496,149988,0.0065784791445749145,0.02002955224347706,0.8409122980874045,0.9135673232438412
SI_fc2bca6b-1f44-4d2c-a1b9-713a33ee0596,vertex_noise,0.1,20260722,78496,149988,78496,149988,0.006793106355520744,0.021252605789514864,0.8281642602002314,0.7663373622801091
SI_fc2bca6b-1f44-4d2c-a1b9-713a33ee0596,vertex_noise,0.2,20260732,78496,149988,78496,149988,0.007232975506437343,0.02762741862115536,0.8078272394409778,0.5946289023213511
SI_fc2bca6b-1f44-4d2c-a1b9-713a33ee0596,vertex_noise,0.35,20260747,78496,149988,78496,149988,0.007944542403119668,0.02847333578498678,0.7542726067502624,0.529154252912553
SI_fc2bca6b-1f44-4d2c-a1b9-713a33ee0596,face_dropout,0.02,20260724,78496,149988,78490,148053,0.006523827713385723,0.022287094179274776,0.8430394240432297,0.9871054953991076
SI_fc2bca6b-1f44-4d2c-a1b9-713a33ee0596,face_dropout,0.05,20260727,78496,149988,78480,145129,0.006541323631953026,0.02158752429344607,0.8414097256610874,0.9864236269074829
SI_fc2bca6b-1f44-4d2c-a1b9-713a33ee0596,face_dropout,0.1,20260732,78496,149988,78468,140283,0.00657140059187157,0.020813764448885795,0.8398711779199948,0.9869465559881483
SI_fc2bca6b-1f44-4d2c-a1b9-713a33ee0596,face_dropout,0.2,20260742,78496,149988,78372,130381,0.006569565535325088,0.02416098663847673,0.8372800033175749,0.9869660552259156
SI_fc2bca6b-1f44-4d2c-a1b9-713a33ee0596,face_dropout,0.35,20260757,78496,149988,78253,115729,0.006546393153986473,0.02336400699491201,0.8380116668323887,0.987178697728927
SI_fc2bca6b-1f44-4d2c-a1b9-713a33ee0596,quantization,0.02,20260734,78496,149988,78496,149988,0.006589086467705506,0.01991328114866814,0.8395370986153159,0.9848156256503494
SI_fc2bca6b-1f44-4d2c-a1b9-713a33ee0596,quantization,0.05,20260737,78496,149988,78496,149988,0.006567080167842602,0.020895714777608168,0.8385825052171321,0.9773031808773704
SI_fc2bca6b-1f44-4d2c-a1b9-713a33ee0596,quantization,0.1,20260742,78496,149988,78496,149988,0.006574164541863221,0.019957335008717585,0.8370317918595581,0.9490593235055146
SI_fc2bca6b-1f44-4d2c-a1b9-713a33ee0596,quantization,0.2,20260752,78496,149988,78496,149988,0.006689859252498051,0.021029278982954553,0.8306679540552739,0.8619624043369422
SI_fc2bca6b-1f44-4d2c-a1b9-713a33ee0596,quantization,0.35,20260767,78496,149988,78496,149988,0.006877677190203142,0.022514737819493376,0.8283323189134809,0.775711902683626
SI_1f1ec6af-193f-4969-9185-dc5dd587239d,vertex_noise,0.02,20260814,1,100000,1,100000,0.0005082129054075538,0.0005082129054075538,1.0,0.0
SI_1f1ec6af-193f-4969-9185-dc5dd587239d,vertex_noise,0.05,20260817,1,100000,1,100000,0.001791031450559567,0.0017910314505595667,1.0,0.0
SI_1f1ec6af-193f-4969-9185-dc5dd587239d,vertex_noise,0.1,20260822,1,100000,1,100000,0.0014811052216186988,0.0014811052216186984,1.0,0.0
SI_1f1ec6af-193f-4969-9185-dc5dd587239d,vertex_noise,0.2,20260832,1,100000,1,100000,0.006118366429785762,0.006118366429785762,1.0,0.0
SI_1f1ec6af-193f-4969-9185-dc5dd587239d,vertex_noise,0.35,20260847,1,100000,1,100000,0.012557883830209228,0.012557883830209234,0.0,0.0
SI_1f1ec6af-193f-4969-9185-dc5dd587239d,face_dropout,0.02,20260824,1,100000,1,98740,0.0,0.0,1.0,0.0
SI_1f1ec6af-193f-4969-9185-dc5dd587239d,face_dropout,0.05,20260827,1,100000,1,96688,0.0,0.0,1.0,0.0
